ChEMBL_ID	UniProt
CHEMBL284092	P18901
CHEMBL284092	P25115
CHEMBL284092	P61169
CHEMBL284092	P15823
CHEMBL284092	P08908
CHEMBL284092	P28223
CHEMBL284092	P14416
CHEMBL284092	P08684
CHEMBL284092	P30729
CHEMBL284092	P23944
CHEMBL441738	P33033
CHEMBL441738	P33032
CHEMBL441738	P41968
CHEMBL441738	P32245
CHEMBL441738	P56450
CHEMBL441738	P00813
CHEMBL441738	P41149
CHEMBL441738	Q01727
CHEMBL441738	P32244
CHEMBL441738	Q01726
CHEMBL290960	Q14432
CHEMBL290960	P11229
CHEMBL290960	P07858
CHEMBL290960	P08397
CHEMBL290960	P35462
CHEMBL290960	P06401
CHEMBL290960	P61604
CHEMBL290960	P18507
CHEMBL290960	P0DMS8
CHEMBL290960	P27815
CHEMBL290960	P22830
CHEMBL290960	P35348
CHEMBL290960	O42275
CHEMBL290960	P14867
CHEMBL290960	P23975
CHEMBL290960	Q9U763
CHEMBL290960	P21397
CHEMBL290960	Q9Y5N1
CHEMBL290960	P35372
CHEMBL290960	P22303
CHEMBL290960	Q01959
CHEMBL290960	P10809
CHEMBL290960	P23219
CHEMBL290960	P21728
CHEMBL290960	P35968
CHEMBL290960	P47870
CHEMBL290960	P08913
CHEMBL290960	Q95PM0
CHEMBL290960	P47869
CHEMBL290960	P21731
CHEMBL290960	P41595
CHEMBL290960	Q548M1
CHEMBL290960	P00734
CHEMBL290960	P31645
CHEMBL290960	P08908
CHEMBL290960	P08172
CHEMBL290960	Q9UBN7
CHEMBL290960	Q7BGE6
CHEMBL290960	Q12809
CHEMBL290960	P28593
CHEMBL290960	P03372
CHEMBL290960	P10275
CHEMBL290916	A6XA80
CHEMBL290916	P11712
CHEMBL290916	Q9UNA4
CHEMBL290916	P19793
CHEMBL290916	P11229
CHEMBL290916	P50406
CHEMBL290916	O76074
CHEMBL290916	P00918
CHEMBL290916	P04062
CHEMBL290916	P05067
CHEMBL290916	P51681
CHEMBL290916	P25021
CHEMBL290916	P25025
CHEMBL290916	P27815
CHEMBL290916	P15127
CHEMBL290916	P9WHJ3
CHEMBL290916	P06241
CHEMBL290916	P14867
CHEMBL290916	P50052
CHEMBL290916	P22771
CHEMBL290916	P9WMR3
CHEMBL290916	P27338
CHEMBL290916	B2RXH2
CHEMBL290916	P25101
CHEMBL290916	P41145
CHEMBL290916	P30542
CHEMBL290916	P35372
CHEMBL290916	Q16539
CHEMBL290916	Q16637
CHEMBL290916	P16662
CHEMBL290916	P32238
CHEMBL290916	P28564
CHEMBL290916	P21731
CHEMBL290916	O70528
CHEMBL290916	P20309
CHEMBL290916	P41143
CHEMBL290916	P39654
CHEMBL290916	P31645
CHEMBL290916	P08908
CHEMBL290916	P21588
CHEMBL290916	P22310
CHEMBL290916	P08588
CHEMBL290916	P16473
CHEMBL290916	P30411
CHEMBL290916	P35462
CHEMBL290916	P13945
CHEMBL290916	P32241
CHEMBL290916	Q08209
CHEMBL290916	P24524
CHEMBL290916	P25024
